fips,county_name,state_code,year,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
0511999999,,AR,2017,581,673,814,1096,1304
0512199999,,AR,2017,457,460,611,764,891
0512599999,,AR,2017,581,673,814,1096,1304
0512799999,,AR,2017,457,460,611,764,891
0512999999,,AR,2017,476,523,611,877,891
0513199999,,AR,2017,493,511,679,901,1100
0513399999,,AR,2017,457,460,611,764,842
0513599999,,AR,2017,388,460,611,837,883
0512399999,,AR,2017,476,484,611,889,1077
0513799999,,AR,2017,462,465,618,792,852
0513999999,,AR,2017,542,553,670,838,1017
0514199999,,AR,2017,457,460,611,873,884
0514399999,,AR,2017,546,578,748,1079,1318
0514599999,,AR,2017,465,468,622,891,1081
0514799999,,AR,2017,418,460,611,764,867
0514999999,,AR,2017,457,460,611,889,961
,,CA,2017,623,650,844,1222,1470
,,CA,2017,656,729,923,1344,1614
,,CA,2017,522,626,822,1123,1434
,,CA,2017,670,709,887,1258,1470
,,CA,2017,619,623,803,1133,1296
,,CA,2017,988,1195,1545,2079,2303
,,CA,2017,667,672,893,1278,1469
,,CA,2017,522,602,776,1125,1355
,,CA,2017,652,726,938,1340,1620
,,CA,2017,1014,1228,1598,2326,2593
,,CA,2017,1435,1723,2173,3017,3477
,,CA,2017,1118,1326,1762,2510,2999
,,CA,2017,657,688,892,1298,1572
,,CA,2017,800,957,1197,1682,2072
,,CA,2017,720,821,1036,1508,1825
,,CA,2017,950,1133,1417,2063,2206
,,CA,2017,1019,1133,1490,2169,2625
,,CA,2017,1212,1342,1741,2507,3068
,,CA,2017,1915,2411,3018,3927,4829
,,CA,2017,1507,1773,2220,3078,3545
,,CA,2017,887,1011,1309,1906,2289
,,CA,2017,1257,1436,1813,2531,2760
,,CA,2017,1160,1375,1828,2425,2723
,,CA,2017,1131,1323,1555,2128,2483
,,CA,2017,1047,1213,1572,2288,2770
,,CA,2017,617,733,967,1408,1704
,,CA,2017,830,1035,1294,1884,2280
,,CA,2017,663,668,873,1265,1452
